Symbol,Date,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
NABIL,2024-03-04,432.4,458.3,432.0,458.3,453.68,14359.0,424.0,6514387.2,26,34.3,26.3,8.09,6.09,1.01,529.26,553.0,653.0,422.0
NABIL,2024-03-05,459.0,459.0,435.0,446.0,447.73,85486.0,458.3,38275055.4,963,-12.3,24.0,-2.68,5.52,-0.39,528.05,552.11,653.0,422.0
NABIL,2024-03-06,448.0,450.0,440.0,442.0,444.21,46408.0,446.0,20614974.9,508,-4.0,10.0,-0.9,2.27,-0.5,526.8,551.2,653.0,422.0
NABIL,2024-03-07,450.0,450.0,442.0,445.5,444.97,27778.0,442.0,12360332.5,392,3.5,8.0,0.79,1.81,0.12,525.56,550.33,653.0,422.0
NABIL,2024-03-08,450.0,450.0,442.0,445.5,444.97,27778.0,442.0,12360332.5,392,3.5,8.0,0.79,1.81,0.12,525.56,550.33,653.0,422.0
NABIL,2024-03-09,450.0,450.0,442.0,445.5,444.97,27778.0,442.0,12360332.5,392,3.5,8.0,0.79,1.81,0.12,525.56,550.33,653.0,422.0
NABIL,2024-03-10,448.0,451.0,447.0,449.8,449.1,38263.0,445.5,17184098.6,557,4.3,4.0,0.97,0.89,0.15,524.32,549.57,653.0,422.0
NABIL,2024-03-11,448.0,451.0,447.0,449.8,449.1,38263.0,445.5,17184098.6,557,4.3,4.0,0.97,0.89,0.15,524.32,549.57,653.0,422.0
NABIL,2024-03-12,458.7,470.0,455.0,469.0,462.2,62909.0,449.8,29076699.0,876,19.2,15.0,4.27,3.3,1.45,523.29,548.95,653.0,422.0
NABIL,2024-03-13,477.0,479.9,467.0,473.0,473.74,66733.0,469.0,31614147.3,885,4.0,12.9,0.85,2.76,-0.16,522.31,548.31,653.0,422.0
NABIL,2024-03-14,480.0,480.0,468.3,471.9,471.73,48287.0,473.0,22778295.1,714,-1.1,11.7,-0.23,2.5,0.04,521.33,547.62,653.0,422.0
NABIL,2024-03-15,480.0,480.0,468.3,471.9,471.73,48287.0,473.0,22778295.1,714,-1.1,11.7,-0.23,2.5,0.04,521.33,547.62,653.0,422.0
NABIL,2024-03-16,480.0,480.0,468.3,471.9,471.73,48287.0,473.0,22778295.1,714,-1.1,11.7,-0.23,2.5,0.04,521.33,547.62,653.0,422.0
NABIL,2024-03-17,478.0,480.0,462.0,464.0,465.6,51485.0,471.9,23971254.6,615,-7.9,18.0,-1.67,3.9,-0.34,520.28,546.92,653.0,422.0
